"","gene","name","geneid","NCBI"
"3421","EYA1","EYA transcriptional coactivator and phosphatase 1",395718,"XP_015138375.1"
"3422","EYA3","EYA transcriptional coactivator and phosphatase 3",395717,"XP_004947755.1"
"3423","EYA4","EYA transcriptional coactivator and phosphatase 4",395716,"XP_015139523.1"
"3424","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit",420784,"XP_015131394.1"
"3425","EZR","ezrin",395701,"NP_990216.1"
"3426","F2","coagulation factor II, thrombin",395306,"NP_989936.1"
"3427","F2R","coagulation factor II thrombin receptor",427212,"XP_004937394.1"
"3428","F2RL1","F2R like trypsin receptor 1",427213,"NP_001012626.1"
"3429","F2RL2","coagulation factor II thrombin receptor like 2",768449,"XP_001231246.1"
"3430","F2RL3","F2R like thrombin or trypsin receptor 3",420139,"XP_418256.4"
"3431","F3","coagulation factor III, tissue factor",429084,"XP_426640.2"
"3432","F5","coagulation factor V",374052,"XP_001231901.4"
"3433","F8","coagulation factor VIII",422199,"XP_420193.5"
"3434","F8A3","coagulation factor VIII associated 3",776915,"XP_015134142.1"
"3435","F9","coagulation factor IX",374258,"XP_015133666.1"
"3436","F10","coagulation factor X",395876,"NP_990353.1"
"3437","F13A1","coagulation factor XIII A chain",395420,"NP_990016.1"
"3438","F13B","coagulation factor XIII B chain",424355,"XP_422198.4"
"3439","FA2H","fatty acid 2-hydroxylase",415687,"XP_015134713.1"
"3440","FAAH","fatty acid amide hydrolase",424614,"XP_422450.1"
"3441","FAAH2","fatty acid amide hydrolase 2",100859568,"XP_015133866.1"
"3442","FAAP100","FA core complex associated protein 100",100049617,"NP_001092080.1"
"3443","FABP1","fatty acid binding protein 1",374015,"NP_989523.1"
"3444","FABP2","fatty acid binding protein 2",422678,"NP_001007924.1"
"3445","FABP3","fatty acid binding protein 3",419557,"NP_001026060.1"
"3446","FABP4","fatty acid binding protein 4",374165,"NP_989621.1"
"3447","FABP5","fatty acid binding protein 5",420197,"NP_001006346.1"
"3448","FABP6","fatty acid binding protein 6",416154,"XP_015149136.1"
"3449","FABP7","fatty acid binding protein 7",396246,"NP_990639.1"
"3450","FADD","Fas associated via death domain",423146,"XP_421073.2"
"3451","FADS2","fatty acid desaturase 2",423122,"NP_001153900.1"
"3452","FADS6","fatty acid desaturase 6",428683,"XP_426241.2"
"3453","FAF1","Fas associated factor 1",424629,"XP_015146711.1"
"3454","FAF2","Fas associated factor family member 2",416225,"XP_414548.2"
"3455","FAH","fumarylacetoacetate hydrolase",415482,"NP_001264402.1"
"3456","FAHD1","fumarylacetoacetate hydrolase domain containing 1",416538,"NP_001264681.1"
"3457","FAHD2A","fumarylacetoacetate hydrolase domain containing 2A",426684,"XP_424309.5"
"3458","FAIM","Fas apoptotic inhibitory molecule",424270,"XP_015145447.1"
"3459","FAIM2","Fas apoptotic inhibitory molecule 2",426899,"XP_015155868.1"
"3460","FAM3B","FAM3 metabolism regulating signaling molecule B",418527,"XP_416736.2"
"3461","FAM3C","FAM3 metabolism regulating signaling molecule C",417758,"NP_001091115.1"
"3462","FAM3D","FAM3 metabolism regulating signaling molecule D",416069,"XP_015148800.1"
"3463","FAM8A1","family with sequence similarity 8 member A1",771369,"XP_001234653.3"
"3464","FAM13A","family with sequence similarity 13 member A",422515,"XP_015132094.1"
"3465","FAM13A","family with sequence similarity 13 member A",422515,"XP_015132097.1"
"3466","FAM13B","family with sequence similarity 13 member B",416297,"NP_001264674.1"
"3467","FAM13C","family with sequence similarity 13 member C",423602,"XP_015143513.1"
"3468","FAM13C","family with sequence similarity 13 member C",423602,"XP_421488.4"
"3469","FAM20A","FAM20A golgi associated secretory pathway pseudokinase",417439,"XP_015135436.1"
"3470","FAM20B","FAM20B glycosaminoglycan xylosylkinase",424427,"XP_015145767.1"
"3471","FAM20C","FAM20C golgi associated secretory pathway kinase",416445,"XP_015149804.1"
"3472","FAM32A","family with sequence similarity 32 member A",420150,"XP_418266.2"
"3473","FAM43A","family with sequence similarity 43 member A",429145,"XP_426700.2"
"3474","FAM43B","family with sequence similarity 43 member B",100858896,"XP_004947545.1"
"3475","FAM53A","family with sequence similarity 53 member A",378905,"XP_015141355.1"
"3476","FAM53B","family with sequence similarity 53 member B",768603,"XP_001231634.3"
"3477","FAM76A","family with sequence similarity 76 member A",426384,"NP_001026548.1"
"3478","FAM76B","family with sequence similarity 76 member B",418994,"XP_015136076.1"
"3479","FAM78A","family with sequence similarity 78 member A",771980,"XP_001233857.1"
"3480","FAM78B","family with sequence similarity 78 member B",769830,"XP_001232254.1"
"3481","FAM81A","family with sequence similarity 81 member A",415396,"XP_015134408.1"
"3482","FAM83A","family with sequence similarity 83 member A",770521,"XP_015138639.1"
"3483","FAM83B","family with sequence similarity 83 member B",428645,"XP_015140388.1"
"3484","FAM83C","family with sequence similarity 83 member C",769474,"XP_001232755.1"
"3485","FAM83D","family with sequence similarity 83 member D",419171,"XP_015152256.1"
"3486","FAM83D","family with sequence similarity 83 member D",425103,"XP_422895.3"
"3487","FAM83F","family with sequence similarity 83 member F",770747,"XP_001234070.3"
"3488","FAM83G","family with sequence similarity 83 member G",101751551,"XP_004945264.1"
"3489","FAM89A","family with sequence similarity 89 member A",107053045,"XP_015139869.1"
"3490","FAM91A1","family with sequence similarity 91 member A1",770621,"XP_001233960.1"
"3491","FAM98A","family with sequence similarity 98 member A",421458,"XP_015139204.1"
"3492","FAM98B","family with sequence similarity 98 member B",423291,"XP_421211.3"
"3493","FAM102A","family with sequence similarity 102 member A",417228,"NP_001186095.1"
"3494","FAM102B","family with sequence similarity 102 member B",768922,"XP_001232083.3"
"3495","FAM104A","family with sequence similarity 104 member A",417450,"XP_015135387.1"
"3496","FAM107A","family with sequence similarity 107 member A",427591,"XP_425164.3"
"3497","FAM107B","family with sequence similarity 107 member B",426376,"XP_015154720.1"
"3498","FAM110A","family with sequence similarity 110 member A",100858650,"XP_003642512.1"
"3499","FAM110B","family with sequence similarity 110 member B",421134,"XP_004939923.1"
"3500","FAM110C","family with sequence similarity 110 member C",100859913,"XP_015140416.1"
"3501","FAM110D","family with sequence similarity 110 member D",419603,"XP_015153242.1"
"3502","FAM114A1","family with sequence similarity 114 member A1",426196,"XP_015141139.1"
"3503","FAM114A2","family with sequence similarity 114 member A2",416262,"XP_015149402.1"
"3504","FAM117B","family with sequence similarity 117 member B",424088,"XP_421944.5"
"3505","FAM118B","family with sequence similarity 118 member B",419714,"NP_001041731.2"
"3506","FAM120A","family with sequence similarity 120A",415983,"XP_414325.5"
"3507","FAM120B","family with sequence similarity 120B",421552,"XP_015139861.1"
"3508","FAM122A","family with sequence similarity 122A",422237,"NP_001026289.1"
"3509","FAM122A","family with sequence similarity 122A",422237,"XP_015133745.1"
"3510","FAM122B","family with sequence similarity 122B",422236,"XP_420224.2"
"3511","FAM124A","family with sequence similarity 124 member A",770395,"XP_001233732.3"
"3512","FAM126A","family with sequence similarity 126 member A",420611,"XP_015136917.1"
"3513","FAM126A","family with sequence similarity 126 member A",420611,"XP_015136925.1"
"3514","FAM126B","family with sequence similarity 126 member B",429010,"XP_015144956.1"
"3515","FAM131A","family with sequence similarity 131 member A",100858502,"XP_003641841.1"
"3516","FAM131B","family with sequence similarity 131 member B",768450,"XP_015149479.1"
"3517","FAM133B","family with sequence similarity 133 member B",420557,"NP_001026146.1"
"3518","FAM135A","family with sequence similarity 135 member A",421871,"XP_015140284.1"
"3519","FAM135B","family with sequence similarity 135 member B",428384,"XP_004940115.1"
"3520","FAM136A","family with sequence similarity 136 member A",426296,"NP_001289022.1"
"3521","FAM149A","family with sequence similarity 149 member A",422721,"XP_420676.4"
"3522","FAM149B1","family with sequence similarity 149 member B1",423639,"XP_421523.3"
"3523","FAM155A","family with sequence similarity 155 member A",768473,"XP_001231425.1"
"3524","FAM155B","family with sequence similarity 155 member B",769051,"XP_015133819.1"
"3525","FAM160A2","family with sequence similarity 160 member A2",425130,"XP_003640664.2"
"3526","FAM160B1","family with sequence similarity 160 member B1",423912,"XP_421774.3"
"3527","FAM161A","FAM161 centrosomal protein A",769188,"XP_001232414.2"
"3528","FAM161A","FAM161 centrosomal protein A",769188,"XP_004935301.1"
"3529","FAM161B","FAM161 centrosomal protein B",423341,"XP_004941840.1"
"3530","FAM161B","FAM161 centrosomal protein B",423341,"XP_004941841.1"
"3531","FAM162A","family with sequence similarity 162 member A",418270,"XP_416495.5"
"3532","FAM162B","family with sequence similarity 162 member B",100857953,"XP_003641082.1"
"3533","FAM167A","family with sequence similarity 167 member A",770947,"XP_001233100.1"
"3534","FAM167B","family with sequence similarity 167 member B",770783,"XP_001234111.1"
"3535","FAM168A","family with sequence similarity 168 member A",419066,"XP_015136487.1"
"3536","FAM168B","family with sequence similarity 168 member B",424759,"XP_422581.1"
"3537","FAM169A","family with sequence similarity 169 member A",431595,"XP_429149.3"
"3538","FAM169B","family with sequence similarity 169 member B",415511,"XP_015147754.1"
"3539","FAM169B","family with sequence similarity 169 member B",415511,"XP_015147758.1"
"3540","FAM171A1","family with sequence similarity 171 member A1",420528,"XP_418631.2"
"3541","FAM171B","family with sequence similarity 171 member B",423991,"XP_421851.4"
"3542","FAM172A","family with sequence similarity 172 member A",427109,"NP_001006574.1"
"3543","FAM172BP","family with sequence similarity 172 member B, pseudogene",418395,"XP_003640507.1"
"3544","FAM174A","family with sequence similarity 174 member A",427273,"XP_003643106.1"
"3545","FAM174B","family with sequence similarity 174 member B",415505,"XP_413878.1"
"3546","FAM177A1","family with sequence similarity 177 member A1",423323,"NP_001026373.1"
"3547","FAM180A","family with sequence similarity 180 member A",772003,"XP_001235204.2"
"3548","FAM180B","family with sequence similarity 180 member B",101748745,"XP_004941620.2"
"3549","FAM181A","family with sequence similarity 181 member A",423427,"XP_015143248.1"
"3550","FAM181B","family with sequence similarity 181 member B",101751376,"XP_015135770.1"
"3551","FAM183A","family with sequence similarity 183 member A",424557,"NP_001264492.1"
"3552","FAM184A","family with sequence similarity 184 member A",421727,"XP_004940325.1"
"3553","FAM184B","family with sequence similarity 184 member B",100859145,"XP_004936209.2"
"3554","FAM185A","family with sequence similarity 185 member A",417722,"XP_015131254.1"
"3555","FAM189A1","family with sequence similarity 189 member A1",415387,"XP_015134479.1"
"3556","FAM189A2","family with sequence similarity 189 member A2",427245,"XP_424828.4"
"3557","FAM189B","family with sequence similarity 189 member B",107055144,"XP_015154128.1"
"3558","FAM193A","family with sequence similarity 193 member A",107053303,"XP_015141350.1"
"3559","FAM193A","family with sequence similarity 193 member A",422885,"XP_015141510.1"
"3560","FAM193B","family with sequence similarity 193 member B",416216,"XP_004944943.1"
"3561","FAM199X","family with sequence similarity 199, X-linked",422377,"XP_003641135.2"
"3562","FAM204A","family with sequence similarity 204 member A",423925,"XP_004942371.1"
"3563","FAM207A","family with sequence similarity 207 member A",424042,"XP_015144690.1"
"3564","FAM210A","family with sequence similarity 210 member A",421045,"NP_001026185.1"
"3565","FAM210B","family with sequence similarity 210 member B",428168,"XP_015151903.1"
"3566","FAM214A","family with sequence similarity 214 member A",415416,"XP_015147388.1"
"3567","FAM217B","family with sequence similarity 217 member B",419221,"XP_004947135.1"
"3568","FAM219A","family with sequence similarity 219 member A",768856,"XP_001231783.1"
"3569","FAM219B","family with sequence similarity 219 member B",101751273,"XP_015134450.1"
"3570","FAM221A","family with sequence similarity 221 member A",420620,"XP_418719.1"
"3571","FAM222A","family with sequence similarity 222 member A",768548,"XP_015130991.1"
"3572","FAM222B","family with sequence similarity 222 member B",417578,"XP_015151244.1"
"3573","FAM229A","family with sequence similarity 229 member A",101752220,"XP_004947891.1"
"3574","FAN1","FANCD2 and FANCI associated nuclease 1",415383,"XP_413768.2"
"3575","FANCA","FA complementation group A",415854,"XP_015148058.1"
"3576","FANCB","FA complementation group B",418628,"XP_015128743.1"
"3577","FANCC","FA complementation group C",427468,"XP_015135800.1"
"3578","FANCD2","FA complementation group D2",415935,"NP_001034350.2"
"3579","FANCF","FA complementation group F",101750641,"XP_004941387.1"
"3580","FANCI","FA complementation group I",415491,"NP_001108323.1"
"3581","FANCL","FA complementation group L",421202,"NP_001029113.1"
"3582","FANCM","FA complementation group M",100857997,"XP_015132266.1"
"3583","FAP","fibroblast activation protein alpha",424186,"NP_001180568.1"
"3584","FAR1","fatty acyl-CoA reductase 1",423028,"NP_001026350.1"
"3585","FAR2","fatty acyl-CoA reductase 2",419043,"XP_004938124.1"
"3586","FARP1","FERM, ARH/RhoGEF and pleckstrin domain protein 1",418781,"XP_015129810.1"
"3587","FARP1","FERM, ARH/RhoGEF and pleckstrin domain protein 1",418781,"XP_015129814.1"
"3588","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2",424842,"XP_004937077.1"
"3589","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2",424842,"XP_422653.4"
"3590","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial",428482,"XP_015131486.1"
"3591","FARSA","phenylalanyl-tRNA synthetase subunit alpha",100859604,"NP_001258086.1"
"3592","FARSB","phenylalanyl-tRNA synthetase subunit beta",424812,"NP_001006543.1"
"3593","FAS","Fas cell surface death receptor",395274,"NP_001186416.1"
"3594","FASLG","Fas ligand",429064,"XP_015145810.1"
"3595","FASN","fatty acid synthase",396061,"NP_990486.2"
"3596","FASTK","Fas activated serine/threonine kinase",426636,"XP_015136510.1"
"3597","FASTKD1","FAST kinase domains 1",424163,"XP_015145168.1"
"3598","FASTKD2","FAST kinase domains 2",424096,"XP_421951.2"
"3599","FASTKD3","FAST kinase domains 3",420932,"XP_004935185.2"
"3600","FASTKD5","FAST kinase domains 5",422937,"XP_420875.4"
"3601","FAT1","FAT atypical cadherin 1",395168,"XP_420680.2"
"3602","FAT2","FAT atypical cadherin 2",416266,"XP_414584.4"
"3603","FAT3","FAT atypical cadherin 3",395167,"XP_015135313.1"
"3604","FAT4","FAT atypical cadherin 4",395166,"XP_015131875.1"
"3605","FAXC","failed axon connections homolog, metaxin like GST domain containing",428630,"XP_426188.4"
"3606","FAXDC2","fatty acid hydroxylase domain containing 2",416256,"NP_001272812.1"
"3607","FBLIM1","filamin binding LIM protein 1",419458,"XP_015152662.1"
"3608","FBLN1","fibulin 1",373979,"NP_989496.1"
"3609","FBLN2","fibulin 2",427583,"XP_015148926.1"
"3610","FBLN5","fibulin 5",423413,"NP_001264403.1"
"3611","FBLN7","fibulin 7",421229,"XP_003640934.1"
"3612","FBN1","fibrillin 1",373992,"XP_015147420.1"
"3613","FBN2","fibrillin 2",374203,"XP_424715.3"
"3614","FBN3","fibrillin 3",395079,"XP_418173.5"
"3615","FBP1","fructose-bisphosphatase 1",395218,"NP_001264977.1"
"3616","FBP2","fructose-bisphosphatase 2",395217,"XP_425039.1"
"3617","FBRSL1","fibrosin like 1",416793,"XP_015131147.1"
"3618","FBRSL1","fibrosin like 1",416793,"XP_015131149.1"
"3619","FBXL2","F-box and leucine rich repeat protein 2",420722,"XP_015137206.1"
"3620","FBXL3","F-box and leucine rich repeat protein 3",428048,"XP_425611.3"
"3621","FBXL4","F-box and leucine rich repeat protein 4",421798,"XP_004940417.1"
"3622","FBXL5","F-box and leucine rich repeat protein 5",422829,"XP_420776.5"
"3623","FBXL7","F-box and leucine rich repeat protein 7",428492,"XP_426048.4"
"3624","FBXL12","F-box and leucine rich repeat protein 12",396477,"NP_990815.1"
"3625","FBXL13","F-box and leucine rich repeat protein 13",417721,"XP_415966.4"
"3626","FBXL14","F-box and leucine rich repeat protein 14",427926,"XP_015142170.1"
"3627","FBXL16","F-box and leucine rich repeat protein 16",416405,"XP_015150150.1"
"3628","FBXL17","F-box and leucine rich repeat protein 17",415615,"XP_015135940.1"
"3629","FBXL17","F-box and leucine rich repeat protein 17",415615,"XP_413983.3"
"3630","FBXL18","F-box and leucine rich repeat protein 18",416484,"NP_001012804.1"
"3631","FBXL18","F-box and leucine rich repeat protein 18",416484,"XP_015149653.1"
"3632","FBXL20","F-box and leucine rich repeat protein 20",771869,"XP_015155019.1"
"3633","FBXL20","F-box and leucine rich repeat protein 20",771869,"XP_015155022.1"
"3634","FBXO2","F-box protein 2",419495,"XP_015152700.1"
"3635","FBXO3","F-box protein 3",429495,"XP_427051.5"
"3636","FBXO4","F-box protein 4",431586,"XP_429141.3"
"3637","FBXO5","F-box protein 5",421642,"XP_015139743.1"
"3638","FBXO7","F-box protein 7",418063,"NP_001012555.2"
"3639","FBXO8","F-box protein 8",422565,"NP_001006446.1"
"3640","FBXO9","F-box protein 9",421895,"NP_001006414.1"
"3641","FBXO11","F-box protein 11",421289,"XP_015133607.1"
"3642","FBXO15","F-box protein 15",421017,"XP_004935262.1"
"3643","FBXO16","F-box protein 16",771262,"XP_001234555.2"
"3644","FBXO21","F-box protein 21",427722,"XP_015150362.1"
"3645","FBXO22","F-box protein 22",415355,"NP_001025716.1"
"3646","FBXO25","F-box protein 25",421906,"XP_003641094.2"
"3647","FBXO28","F-box protein 28",421328,"XP_015139394.1"
"3648","FBXO28","F-box protein 28",421328,"XP_015139395.1"
"3649","FBXO32","F-box protein 32",420343,"NP_001026127.1"
"3650","FBXO33","F-box protein 33",428887,"XP_426443.4"
"3651","FBXO34","F-box protein 34",423554,"XP_015142997.1"
"3652","FBXO39","F-box protein 39",776097,"XP_003642467.1"
"3653","FBXO39","F-box protein 39",776097,"XP_015151700.1"
"3654","FBXO40","F-box protein 40",426341,"XP_015149101.1"
"3655","FBXO42","F-box protein 42",419461,"XP_015152512.1"
"3656","FBXO43","F-box protein 43",420245,"XP_004940033.1"
"3657","FBXO45","F-box protein 45",770111,"XP_015132617.1"
"3658","FBXO46","F-box protein 46",107057640,"XP_015158205.1"
"3659","FBXO47","F-box protein 47",771854,"XP_004948635.1"
"3660","FBXO48","F-box protein 48",421265,"XP_419336.2"
"3661","FBXW2","F-box and WD repeat domain containing 2",417088,"XP_015134865.1"
"3662","FBXW4","F-box and WD repeat domain containing 4",770459,"XP_001233793.2"
"3663","FBXW5","F-box and WD repeat domain containing 5",417289,"NP_001025865.1"
"3664","FBXW8","F-box and WD repeat domain containing 8",417024,"XP_004934540.1"
"3665","FBXW8","F-box and WD repeat domain containing 8",417024,"XP_415314.2"
"3666","FBXW9","F-box and WD repeat domain containing 9",107057629,"XP_015158198.1"
"3667","FBXW10","F-box and WD repeat domain containing 10",417323,"XP_415592.5"
"3668","FCER1G","Fc fragment of IgE receptor Ig",100049618,"NP_001092081.1"
"3669","FCF1","FCF1 rRNA-processing protein",423355,"XP_421270.1"
"3670","FCGBP","Fc fragment of IgG binding protein",424904,"XP_015146991.1"
"3671","FCHO1","FCH and mu domain containing endocytic adaptor 1",107055349,"XP_015155438.1"
"3672","FCHO2","FCH and mu domain containing endocytic adaptor 2",769464,"XP_001232744.3"
"3673","FCHSD1","FCH and double SH3 domains 1",427616,"XP_015149121.1"
"3674","FCHSD2","FCH and double SH3 domains 2",419068,"XP_015136479.1"
"3675","FCN2","ficolin 2",417298,"XP_004945804.1"
"3676","FDFT1","farnesyl-diphosphate farnesyltransferase 1",422038,"NP_001034383.1"
"3677","FDPS","farnesyl diphosphate synthase",425061,"XP_015154133.1"
"3678","FDPS","farnesyl diphosphate synthase",425061,"XP_015154134.1"
"3679","FDX1","ferredoxin 1",373947,"NP_001185597.1"
"3680","FDXACB1","ferredoxin-fold anticodon binding domain containing 1",419800,"XP_417937.3"
"3681","FDXR","ferredoxin reductase",769635,"XP_015150953.1"
"3682","FECH","ferrochelatase",374020,"NP_989527.1"
"3683","FEM1A","fem-1 homolog A",420157,"XP_418271.3"
"3684","FEM1B","fem-1 homolog B",415559,"NP_001025724.1"
"3685","FEM1C","fem-1 homolog C",431262,"XP_004949743.1"
"3686","FEN1","flap structure-specific endonuclease 1",769677,"NP_001072959.1"
"3687","FER","FER tyrosine kinase",415614,"XP_413981.2"
"3688","FER1L4","fer-1 like family member 4 (pseudogene)",419135,"XP_015151740.1"
"3689","FER1L6","fer-1 like family member 6",420340,"XP_003640913.2"
"3690","FERMT1","fermitin family member 1",416727,"XP_004935305.1"
"3691","FES","FES proto-oncogene, tyrosine kinase",429374,"XP_015147649.1"
"3692","FETUB","fetuin B",395404,"NP_001264337.1"
"3693","FEV","FEV transcription factor, ETS family member",100857480,"XP_003641694.2"
"3694","FEZ1","fasciculation and elongation protein zeta 1",425587,"XP_015153562.1"
"3695","FEZF2","FEZ family zinc finger 2",416074,"XP_414411.2"
"3696","FFAR4","free fatty acid receptor 4",428963,"XP_003641529.3"
"3697","FGA","fibrinogen alpha chain",396307,"NP_001258840.1"
"3698","FGB","fibrinogen beta chain",373926,"NP_001161155.1"
"3699","FGD3","FYVE, RhoGEF and PH domain containing 3",415989,"XP_015148893.1"
"3700","FGD4","FYVE, RhoGEF and PH domain containing 4",107049013,"XP_015142733.1"
"3701","FGD5","FYVE, RhoGEF and PH domain containing 5",416130,"XP_004944789.1"
"3702","FGD6","FYVE, RhoGEF and PH domain containing 6",417908,"XP_015139476.1"
"3703","FGF1","fibroblast growth factor 1",396094,"NP_990511.1"
"3704","FGF2","fibroblast growth factor 2",396413,"NP_990764.1"
"3705","FGF3","fibroblast growth factor 3",396267,"NP_990658.1"
"3706","FGF5","fibroblast growth factor 5",770457,"XP_015132006.1"
"3707","FGF6","fibroblast growth factor 6",768907,"XP_001232071.1"
"3708","FGF7","fibroblast growth factor 7",415439,"NP_001012543.1"
"3709","FGF8","fibroblast growth factor 8",396313,"NP_001012785.1"
"3710","FGF9","fibroblast growth factor 9",378917,"NP_989730.1"
"3711","FGF10","fibroblast growth factor 10",395432,"NP_990027.1"
"3712","FGF12","fibroblast growth factor 12",395704,"XP_015146857.1"
"3713","FGF13","fibroblast growth factor 13",414831,"XP_015133692.1"
"3714","FGF14","fibroblast growth factor 14",395554,"XP_015129747.1"
"3715","FGF18","fibroblast growth factor 18",395453,"NP_990045.1"
"3716","FGF19","fibroblast growth factor 19",395394,"NP_990005.2"
"3717","FGFBP1","fibroblast growth factor binding protein 1",422826,"XP_420773.1"
"3718","FGFBP2","fibroblast growth factor binding protein 2",395094,"XP_015141212.1"
"3719","FGFBP3","fibroblast growth factor binding protein 3",101751656,"XP_015144354.1"
"3720","FGFR1","fibroblast growth factor receptor 1",396516,"XP_015152852.1"
"3721","FGFR1OP2","FGFR1 oncogene partner 2",418214,"NP_001007856.1"
"3722","FGFR2","fibroblast growth factor receptor 2",396259,"XP_015144073.1"
"3723","FGFR3","fibroblast growth factor receptor 3",396515,"NP_990840.2"
"3724","FGFR3","fibroblast growth factor receptor 3",396515,"XP_015141364.1"
"3725","FGFR4","fibroblast growth factor receptor 4",395603,"XP_015149349.1"
"3726","FGFR4","fibroblast growth factor receptor 4",395603,"XP_015149350.1"
"3727","FGFRL1","fibroblast growth factor receptor like 1",395107,"NP_989787.1"
"3728","FGG","fibrinogen gamma chain",395837,"NP_990320.2"
"3729","FGGY","FGGY carbohydrate kinase domain containing",772383,"XP_001235529.2"
"3730","FGL1","fibrinogen like 1",422728,"NP_001264748.1"
"3731","FGL2","fibrinogen like 2",768821,"NP_001072954.1"
"3732","FH","fumarate hydratase",420969,"NP_001006382.1"
"3733","FHDC1","FH2 domain containing 1",422484,"XP_015132140.1"
"3734","FHIT","fragile histidine triad diadenosine triphosphatase",416071,"NP_001264731.2"
"3735","FHL1","four and a half LIM domains 1",770787,"XP_001234114.2"
"3736","FHL2","four and a half LIM domains 2",418726,"XP_004938569.1"
"3737","FHL5","four and a half LIM domains 5",421803,"NP_001264652.1"
"3738","FHOD1","formin homology 2 domain containing 1",415672,"NP_001012792.1"
"3739","FHOD3","formin homology 2 domain containing 3",420952,"XP_015137845.1"
"3740","FIBCD1","fibrinogen C domain containing 1",427762,"XP_425335.2"
"3741","FIBIN","fin bud initiation factor homolog",426933,"NP_001264523.1"
"3742","FIBP","FGF1 intracellular binding protein",107051225,"XP_015130360.1"
"3743","FICD","FIC domain protein adenylyltransferase",416889,"XP_004945669.1"
"3744","FIG4","FIG4 phosphoinositide 5-phosphatase",421762,"NP_001108095.1"
"3745","FIGLA","folliculogenesis specific bHLH transcription factor",107054984,"XP_015152972.1"
"3746","FIGN","fidgetin, microtubule severing factor",429028,"XP_004942875.1"
"3747","FIGNL1","fidgetin like 1",420946,"XP_001234039.1"
"3748","FIGNL2","fidgetin like 2",431296,"XP_015155750.1"
"3749","FILIP1","filamin A interacting protein 1",421860,"XP_015140245.1"
"3750","FILIP1L","filamin A interacting protein 1 like",769163,"XP_003640516.2"
"3751","FILIP1L","filamin A interacting protein 1 like",769163,"XP_004938300.1"
"3752","FIP1L1","factor interacting with PAPOLA and CPSF1",422754,"XP_015141020.1"
"3753","FITM2","fat storage inducing transmembrane protein 2",419200,"XP_015152217.1"
"3754","FJX1","four-jointed box kinase 1",100858635,"XP_004941973.2"
"3755","FKBP1A","FKBP prolyl isomerase 1A",374233,"NP_989661.1"
"3756","FKBP1B","FKBP prolyl isomerase 1B",395254,"NP_989898.1"
"3757","FKBP3","FKBP prolyl isomerase 3",395353,"NP_989972.1"
"3758","FKBP4","FKBP prolyl isomerase 4",418261,"NP_001006250.1"
"3759","FKBP5","FKBP prolyl isomerase 5",421186,"NP_001005431.1"
"3760","FKBP6","FKBP prolyl isomerase 6",417460,"XP_015151391.1"
"3761","FKBP7","FKBP prolyl isomerase 7",424129,"XP_421981.5"
"3762","FKBP8","FKBP prolyl isomerase 8",420123,"XP_015155539.1"
"3763","FKBP9","FKBP prolyl isomerase 9",395652,"NP_990178.2"
"3764","FKBP10","FKBP prolyl isomerase 10",427013,"XP_003642878.1"
"3765","FKBP11","FKBP prolyl isomerase 11",107049506,"XP_015128663.1"
"3766","FKBP14","FKBP prolyl isomerase 14",420636,"XP_418735.1"
"3767","FKBP15","FKBP prolyl isomerase 15",417267,"XP_415541.4"
"3768","FKRP","fukutin related protein",431512,"XP_015129797.1"
"3769","FKTN","fukutin",427303,"XP_004949412.2"
"3770","FLAD1","flavin adenine dinucleotide synthetase 1",100857898,"XP_015153994.1"
"3771","FLI1","Fli-1 proto-oncogene, ETS transcription factor",419723,"NP_001026079.1"
"3772","FLII","FLII actin remodeling protein",416515,"NP_001025806.1"
"3773","FLNB","filamin B",378913,"NP_001025512.2"
"3774","FLNB","filamin B",378913,"XP_015148426.1"
"3775","FLOT1","flotillin 1",101751397,"XP_015128657.1"
"3776","FLOT2","flotillin 2",417579,"XP_015151250.1"
"3777","FLOT2","flotillin 2",417579,"XP_015151251.1"
"3778","FLRT1","fibronectin leucine rich transmembrane protein 1",428618,"XP_426175.3"
"3779","FLRT2","fibronectin leucine rich transmembrane protein 2",428901,"XP_003641353.1"
"3780","FLRT3","fibronectin leucine rich transmembrane protein 3",428552,"XP_015138909.1"
"3781","FLT1","fms related receptor tyrosine kinase 1",374100,"NP_989583.1"
"3782","FLT4","fms related receptor tyrosine kinase 4",395742,"NP_001280022.1"
"3783","FLVCR1","FLVCR heme transporter 1",421365,"XP_419425.2"
"3784","FLVCR2","FLVCR heme transporter 2",423365,"XP_421280.4"
"3785","FMN1","formin 1",386747,"NP_989754.1"
"3786","FMN2","formin 2",775973,"XP_015139480.1"
"3787","FMNL2","formin like 2",771739,"XP_015145696.1"
"3788","FMO5","flavin containing dimethylaniline monoxygenase 5",100857694,"XP_015145903.1"
"3789","FMOD","fibromodulin",395814,"NP_990298.1"
"3790","FMR1","FMRP translational regulator 1",422395,"XP_004940924.1"
"3791","FMR1NB","FMR1 neighbor",101748316,"XP_004940921.1"
"3792","FN1","fibronectin 1",396133,"NP_001185641.1"
"3793","FN3K","fructosamine 3 kinase",417335,"XP_415601.1"
"3794","FN3KRP","fructosamine 3 kinase related protein",417336,"NP_001108110.1"
"3795","FNBP1","formin binding protein 1",417187,"XP_015135209.1"
